,sl,time,light
402,402,2018-06-18 05:50:10.511871,707.0
403,403,2018-06-18 05:50:11.511181,727.0
404,404,2018-06-18 05:50:12.514572,751.0
405,405,2018-06-18 05:50:13.513892,773.0
406,406,2018-06-18 05:50:14.513218,778.0
407,407,2018-06-18 05:50:15.512501,764.0
408,408,2018-06-18 05:50:16.511808,735.0
409,409,2018-06-18 05:50:17.515280,719.0
410,410,2018-06-18 05:50:18.514548,707.0
411,411,2018-06-18 05:50:19.513857,703.0
412,412,2018-06-18 05:50:20.513162,705.0
413,413,2018-06-18 05:50:21.516568,720.0
414,414,2018-06-18 05:50:22.515891,743.0
415,415,2018-06-18 05:50:23.515197,767.0
416,416,2018-06-18 05:50:24.514511,777.0
417,417,2018-06-18 05:50:25.513821,775.0
418,418,2018-06-18 05:50:26.517229,753.0
419,419,2018-06-18 05:50:27.516558,729.0
420,420,2018-06-18 05:50:28.515865,716.0
421,421,2018-06-18 05:50:29.515185,706.0
422,422,2018-06-18 05:50:30.518585,703.0
423,423,2018-06-18 05:50:31.517940,705.0
424,424,2018-06-18 05:50:32.517230,716.0
425,425,2018-06-18 05:50:33.516551,735.0
426,426,2018-06-18 05:50:34.515858,755.0
427,427,2018-06-18 05:50:35.519298,773.0
428,428,2018-06-18 05:50:36.518632,778.0
429,429,2018-06-18 05:50:37.517942,774.0
430,430,2018-06-18 05:50:38.517267,757.0
431,431,2018-06-18 05:50:39.520678,734.0
432,432,2018-06-18 05:50:40.520004,721.0
433,433,2018-06-18 05:50:41.519323,712.0
434,434,2018-06-18 05:50:42.518642,705.0
435,435,2018-06-18 05:50:43.517967,703.0
436,436,2018-06-18 05:50:44.521385,704.0
437,437,2018-06-18 05:50:45.520743,709.0
438,438,2018-06-18 05:50:46.520039,724.0
439,439,2018-06-18 05:50:47.519363,741.0
440,440,2018-06-18 05:50:48.522803,758.0
441,441,2018-06-18 05:50:49.522138,773.0
442,442,2018-06-18 05:50:50.521462,777.0
443,443,2018-06-18 05:50:51.520788,777.0
444,444,2018-06-18 05:50:52.520162,766.0
445,445,2018-06-18 05:50:53.523540,749.0
446,446,2018-06-18 05:50:54.522872,731.0
447,447,2018-06-18 05:50:55.522193,720.0
448,448,2018-06-18 05:50:56.521525,712.0
449,449,2018-06-18 05:50:57.524945,705.0
450,450,2018-06-18 05:50:58.524279,702.0
451,451,2018-06-18 05:50:59.523609,703.0
452,452,2018-06-18 05:51:00.522993,708.0
453,453,2018-06-18 05:51:01.522268,722.0
454,454,2018-06-18 05:51:02.525719,739.0
455,455,2018-06-18 05:51:03.525059,757.0
456,456,2018-06-18 05:51:04.524392,772.0
457,457,2018-06-18 05:51:05.523701,777.0
458,458,2018-06-18 05:51:06.527149,775.0
459,459,2018-06-18 05:51:07.526494,760.0
460,460,2018-06-18 05:51:08.525845,738.0
461,461,2018-06-18 05:51:09.525159,723.0
462,462,2018-06-18 05:51:10.528582,713.0
463,463,2018-06-18 05:51:11.527918,705.0
464,464,2018-06-18 05:51:12.527261,702.0
465,465,2018-06-18 05:51:13.526594,702.0
466,466,2018-06-18 05:51:14.525891,706.0
467,467,2018-06-18 05:51:15.529384,719.0
468,468,2018-06-18 05:51:16.528730,735.0
469,469,2018-06-18 05:51:17.528042,751.0
470,470,2018-06-18 05:51:18.527379,767.0
471,471,2018-06-18 05:51:19.530789,775.0
472,472,2018-06-18 05:51:20.530167,777.0
473,473,2018-06-18 05:51:21.529521,774.0
474,474,2018-06-18 05:51:22.528856,762.0
475,475,2018-06-18 05:51:23.528196,746.0
476,476,2018-06-18 05:51:24.531627,730.0
477,477,2018-06-18 05:51:25.530976,721.0
478,478,2018-06-18 05:51:26.530313,713.0
479,479,2018-06-18 05:51:27.529654,707.0
480,480,2018-06-18 05:51:28.533087,704.0
481,481,2018-06-18 05:51:29.532436,702.0
482,482,2018-06-18 05:51:30.531784,703.0
483,483,2018-06-18 05:51:31.531126,706.0
484,484,2018-06-18 05:51:32.530423,712.0
485,485,2018-06-18 05:51:33.533924,722.0
486,486,2018-06-18 05:51:34.533271,734.0
487,487,2018-06-18 05:51:35.532617,746.0
488,488,2018-06-18 05:51:36.531965,758.0
489,489,2018-06-18 05:51:37.535396,769.0
490,490,2018-06-18 05:51:38.534752,775.0
491,491,2018-06-18 05:51:39.534096,778.0
492,492,2018-06-18 05:51:40.533439,778.0
493,493,2018-06-18 05:51:41.532782,773.0
494,494,2018-06-18 05:51:42.536222,762.0
495,495,2018-06-18 05:51:43.535577,749.0
496,496,2018-06-18 05:51:44.534917,733.0
497,497,2018-06-18 05:51:45.534272,724.0
498,498,2018-06-18 05:51:46.537739,717.0
499,499,2018-06-18 05:51:47.537085,710.0
500,500,2018-06-18 05:51:48.536484,705.0
501,501,2018-06-18 05:51:49.535777,703.0
502,502,2018-06-18 05:51:50.535125,702.0
503,503,2018-06-18 05:51:51.538576,705.0
504,504,2018-06-18 05:51:52.537878,712.0
505,505,2018-06-18 05:51:53.537272,726.0
506,506,2018-06-18 05:51:54.536621,740.0
507,507,2018-06-18 05:51:55.540066,755.0
508,508,2018-06-18 05:51:56.539478,770.0
509,509,2018-06-18 05:51:57.538772,776.0
510,510,2018-06-18 05:51:58.538120,778.0
511,511,2018-06-18 05:51:59.537472,771.0
512,512,2018-06-18 05:52:00.540940,755.0
513,513,2018-06-18 05:52:01.540296,734.0
514,514,2018-06-18 05:52:02.539624,723.0
515,515,2018-06-18 05:52:03.538975,714.0
516,516,2018-06-18 05:52:04.542467,706.0
517,517,2018-06-18 05:52:05.541804,703.0
518,518,2018-06-18 05:52:06.541158,703.0
519,519,2018-06-18 05:52:07.540508,707.0
520,520,2018-06-18 05:52:08.539864,721.0
521,521,2018-06-18 05:52:09.543265,738.0
522,522,2018-06-18 05:52:10.542672,757.0
523,523,2018-06-18 05:52:11.542024,773.0
524,524,2018-06-18 05:52:12.541379,778.0
525,525,2018-06-18 05:52:13.544821,775.0
526,526,2018-06-18 05:52:14.544188,759.0
527,527,2018-06-18 05:52:15.543541,736.0
528,528,2018-06-18 05:52:16.542900,722.0
529,529,2018-06-18 05:52:17.546344,712.0
530,530,2018-06-18 05:52:18.545719,705.0
531,531,2018-06-18 05:52:19.545083,702.0
532,532,2018-06-18 05:52:20.544444,704.0
533,533,2018-06-18 05:52:21.543795,713.0
534,534,2018-06-18 05:52:22.547247,731.0
535,535,2018-06-18 05:52:23.546612,749.0
536,536,2018-06-18 05:52:24.545921,768.0
537,537,2018-06-18 05:52:25.545323,776.0
538,538,2018-06-18 05:52:26.548773,778.0
539,539,2018-06-18 05:52:27.548131,767.0
540,540,2018-06-18 05:52:28.547505,748.0
541,541,2018-06-18 05:52:29.546851,729.0
542,542,2018-06-18 05:52:30.546213,718.0
543,543,2018-06-18 05:52:31.549687,709.0
544,544,2018-06-18 05:52:32.549055,705.0
545,545,2018-06-18 05:52:33.548421,703.0
546,546,2018-06-18 05:52:34.547750,706.0
547,547,2018-06-18 05:52:35.551221,718.0
548,548,2018-06-18 05:52:36.550590,735.0
549,549,2018-06-18 05:52:37.549954,754.0
550,550,2018-06-18 05:52:38.549309,771.0
551,551,2018-06-18 05:52:39.548690,778.0
552,552,2018-06-18 05:52:40.552123,778.0
553,553,2018-06-18 05:52:41.551440,765.0
554,554,2018-06-18 05:52:42.550847,745.0
555,555,2018-06-18 05:52:43.550206,728.0
556,556,2018-06-18 05:52:44.553736,717.0
557,557,2018-06-18 05:52:45.553056,708.0
558,558,2018-06-18 05:52:46.552416,704.0
559,559,2018-06-18 05:52:47.551783,703.0
560,560,2018-06-18 05:52:48.551115,707.0
561,561,2018-06-18 05:52:49.554599,720.0
562,562,2018-06-18 05:52:50.553967,737.0
563,563,2018-06-18 05:52:51.553327,756.0
564,564,2018-06-18 05:52:52.552684,772.0
565,565,2018-06-18 05:52:53.556142,778.0
566,566,2018-06-18 05:52:54.555511,777.0
567,567,2018-06-18 05:52:55.554873,763.0
568,568,2018-06-18 05:52:56.554234,744.0
569,569,2018-06-18 05:52:57.553603,727.0
570,570,2018-06-18 05:52:58.557039,718.0
571,571,2018-06-18 05:52:59.556460,710.0
572,572,2018-06-18 05:53:00.555791,706.0
573,573,2018-06-18 05:53:01.555108,703.0
574,574,2018-06-18 05:53:02.558637,704.0
575,575,2018-06-18 05:53:03.558009,708.0
576,576,2018-06-18 05:53:04.557377,719.0
577,577,2018-06-18 05:53:05.556742,734.0
578,578,2018-06-18 05:53:06.556103,748.0
579,579,2018-06-18 05:53:07.559561,764.0
